      w0,       x
      33,      11
      12,       4
      24,       8
      30,      10
       0,       0
      78,      26
      24,       8
      27,       9
     102,      34
      -3,      -1
      -6,      -2
     -27,      -9
      42,      14
      69,      23
      48,      16
       9,       3
      36,      12
      54,      18
      24,       8
       0,       0
      60,      20
      30,      10
      -3,      -1
     -24,      -8
      33,      11
      69,      23
      12,       4
      42,      14
      33,      11
     -42,     -14
      48,      16
      12,       4
      -3,      -1
      36,      12
      -6,      -2
      75,      25
      24,       8
       6,       2
       6,       2
      18,       6
      57,      19
      27,       9
      30,      10
      12,       4
      30,      10
      42,      14
      33,      11
       9,       3
      51,      17
      30,      10
       3,       1
      51,      17
     -30,     -10
      78,      26
      78,      26
       0,       0
      54,      18
      21,       7
      45,      15
       3,       1
      57,      19
      42,      14
       0,       0
      30,      10
      66,      22
       0,       0
      -3,      -1
     -45,     -15
      60,      20
      -3,      -1
      51,      17
      33,      11
      12,       4
      -9,      -3
      15,       5
       0,       0
      -3,      -1
       6,       2
      57,      19
     -15,      -5
      90,      30
      30,      10
      54,      18
      33,      11
      18,       6
      90,      30
      27,       9
      96,      32
      39,      13
      12,       4
      21,       7
      36,      12
      15,       5
       9,       3
      66,      22
      81,      27
      57,      19
       0,       0
      57,      19
      33,      11
      24,       8
      45,      15
     -18,      -6
       0,       0
     -54,     -18
     -24,      -8
      30,      10
       0,       0
      51,      17
      51,      17
      24,       8
      57,      19
      45,      15
      15,       5
      27,       9
      24,       8
      -9,      -3
      39,      13
      30,      10
      36,      12
     -18,      -6
      36,      12
      60,      20
       3,       1
      24,       8
      96,      32
      24,       8
      21,       7
      21,       7
     -24,      -8
       9,       3
      54,      18
      51,      17
      21,       7
      33,      11
      87,      29
      30,      10
      36,      12
      39,      13
      36,      12
      18,       6
     -18,      -6
     -21,      -7
      51,      17
      21,       7
     -18,      -6
       6,       2
      21,       7
      15,       5
      42,      14
      60,      20
      12,       4
      12,       4
      -6,      -2
      15,       5
      42,      14
      30,      10
      18,       6
       6,       2
      51,      17
     -33,     -11
     -18,      -6
      12,       4
       0,       0
      30,      10
      33,      11
       0,       0
      51,      17
      12,       4
      18,       6
      84,      28
      12,       4
      60,      20
      39,      13
      -3,      -1
      -3,      -1
      54,      18
      21,       7
       0,       0
      48,      16
      -9,      -3
      -6,      -2
      39,      13
      54,      18
      51,      17
      12,       4
      57,      19
      42,      14
      21,       7
      15,       5
       3,       1
      69,      23
       0,       0
      33,      11
      12,       4
      -9,      -3
       0,       0
      39,      13
      72,      24
      51,      17
      69,      23
      99,      33
     -42,     -14
      78,      26
      54,      18
      -6,      -2
     -12,      -4
      66,      22
      54,      18
      54,      18
      21,       7
      87,      29
      18,       6
      27,       9
      30,      10
      60,      20
     -18,      -6
      51,      17
      57,      19
      45,      15
      36,      12
      72,      24
      39,      13
      -3,      -1
      42,      14
       0,       0
      -6,      -2
      27,       9
      30,      10
      33,      11
     105,      35
      27,       9
      63,      21
      48,      16
      54,      18
      39,      13
      57,      19
     111,      37
      27,       9
       0,       0
      18,       6
      30,      10
     -27,      -9
      63,      21
      48,      16
       3,       1
       3,       1
      18,       6
      54,      18
      18,       6
      -3,      -1
      30,      10
      21,       7
      18,       6
      30,      10
      45,      15
      84,      28
      45,      15
      36,      12
      24,       8
      12,       4
      27,       9
      48,      16
      39,      13
       3,       1
      30,      10
      63,      21
      33,      11
      78,      26
      51,      17
      36,      12
      60,      20
      90,      30
       6,       2
      72,      24
      24,       8
      15,       5
      -3,      -1
       0,       0
     -51,     -17
      24,       8
      57,      19
      -6,      -2
      36,      12
      24,       8
      42,      14
      24,       8
       0,       0
      39,      13
      93,      31
      54,      18
      30,      10
      51,      17
       0,       0
      69,      23
      36,      12
      57,      19
       3,       1
      36,      12
      27,       9
      33,      11
      33,      11
      57,      19
       3,       1
      57,      19
      15,       5
      18,       6
       9,       3
