      w0,      w1,       x,       y,       z
    1926,     110,      13,      24,      22
    1920,      90,      10,      27,      18
    2940,       0,      27,       1,       0
    1750,      30,       0,      30,       6
     876,      60,      13,       9,      12
     384,     110,       8,      -5,      22
     250,     -20,       9,       0,      -4
    1634,      20,      13,      22,       4
    1920,      30,      19,      15,       6
     576,      30,       8,      13,       6
    1222,     130,       0,      24,      26
    1442,       0,      13,      20,       0
     -12,      15,      -3,       4,       3
    2890,      80,       8,      36,      16
     612,      55,     -13,      -2,      11
    1120,     145,      15,       6,      29
     538,     205,     -10,      -3,      41
    1146,      60,       9,      20,      12
    2430,      30,      20,      20,       6
     400,     105,       8,       6,      21
     620,     -20,      13,       1,      -4
    2018,     160,      19,      14,      32
    1156,      55,       2,      24,      11
     208,     -35,      -4,      12,      -7
     600,      10,       7,      15,       2
     822,      15,      14,       5,       3
    1866,     120,      20,      -8,      24
    1494,      15,      17,     -13,       3
    1650,      45,       0,      29,       9
    2480,      25,      22,      16,       5
     822,      35,       8,      17,       7
     882,     100,     -15,       2,      20
    4936,      30,      26,      33,       6
     450,       0,      -3,      16,       0
     -74,     -45,      -4,       3,      -9
    2054,      70,      22,       4,      14
    1722,      25,      11,      25,       5
     752,      10,      13,       7,       2
     810,       5,      14,       5,       1
     682,     -15,      12,       9,      -3
    6270,      55,      39,       5,      11
    1064,      45,     -17,      -2,       9
     684,      80,       7,      15,      16
     408,     130,      -9,       5,      26
     258,      80,       5,       8,      16
     180,      20,       0,      11,       4
     474,      85,       9,       7,      17
    1452,     100,       9,      23,      20
    5438,      35,      34,      19,       7
     320,      50,       1,      13,      10
     168,      45,       0,      10,       9
    1000,     -70,       8,      21,     -14
     936,      45,      15,      -2,       9
     384,     110,       0,      13,      22
     466,      45,       3,      15,       9
    3416,      45,      28,      10,       9
       0,      10,       2,       5,       2
    1626,     145,      19,       3,      29
    2274,       0,      21,     -16,       0
     666,      45,       5,      17,       9
     552,     105,     -11,       6,      21
    2498,      80,      19,      22,      16
    2514,     105,      22,      15,      21
     898,     -20,       9,      18,      -4
     632,      65,      10,      10,      13
      10,       0,       2,       6,       0
     884,      15,      10,      16,       3
    2266,      85,      18,      21,      17
     984,      45,      12,      14,       9
    2028,      20,       6,      31,       4
     120,     -10,       6,       5,      -2
    2746,     145,      23,      15,      29
     104,      10,       4,       7,       2
     288,     110,      -1,      11,      22
     172,      60,       2,       9,      12
     576,      70,      11,       5,      14
     630,     -10,      10,      12,      -2
     182,      30,       7,       2,       6
     612,      20,       7,      15,       4
    1134,     170,     -13,      14,      34
      48,      30,       3,       5,       6
    1536,      70,      16,      15,      14
    1406,      55,      16,      13,      11
      64,      85,       3,       0,      17
    2100,      15,      19,      18,       3
    4210,       0,      32,       6,       0
    1518,     110,      15,      16,      22
    3518,     170,      25,      20,      34
    1428,     115,      18,       2,      23
     612,      20,      -8,      15,       4
    2740,       0,      18,      27,       0
    3066,     105,      27,      -1,      21
    2574,     -65,      24,      13,     -13
     132,      80,      -3,       7,      16
    2250,     140,      19,      18,      28
     272,      30,       7,      -7,       6
    1900,     120,      15,      21,      24
      24,      10,       3,       5,       2
    8152,     165,      41,      24,      33
    6656,      50,      34,      31,      10
     384,     -15,       8,      10,      -3
    2856,      45,      25,      12,       9
    3236,      55,      28,      -2,      11
     594,      45,     -12,      -7,       9
     712,      85,      12,      -6,      17
     880,      45,      12,      12,       9
    1526,      10,      16,      16,       2
    2298,     -20,      24,      -2,      -4
       0,     -35,      -1,       8,      -7
     616,      10,     -12,       9,       2
     184,     -10,      -6,       9,      -2
     598,      70,      11,       6,      14
      30,      15,       0,       7,       3
     962,      80,      10,      16,      16
     102,      30,       5,       4,       6
    2410,       0,      21,      18,       0
    5184,      65,      25,      36,      13
    2292,      35,      23,       8,       7
     438,      -5,       4,      15,      -1
    1206,      75,      15,      11,      15
     562,       0,       9,      12,       0
     -14,       0,       0,       6,       0
    1500,     -25,      17,      14,      -5
     118,      55,       5,       3,      11
    1690,      65,      20,       3,      13
     936,      70,      14,       7,      14
     370,      65,       9,      -3,      13
      34,     100,       0,       0,      20
     710,      15,      13,      -5,       3
    2344,      50,      23,      -9,      10
     652,     100,       6,      15,      20
     -66,     -10,       0,      -4,      -2
    1426,     120,      18,       0,      24
     570,     120,      10,      -6,      24
     244,      15,       2,      12,       3
     126,      70,       5,      -2,      14
    5076,      60,      35,       5,      12
    1928,     -15,      22,       2,      -3
      66,      80,       2,      -4,      16
    1844,      20,       7,      29,       4
     992,      50,      10,      17,      10
     348,      35,       9,       4,       7
     216,     -90,       9,      -5,     -18
    1090,       0,       2,      24,       0
     962,      60,       1,      22,      12
    1792,     130,      14,      21,      26
     -66,     -30,      -3,      -4,      -6
    1746,     -40,      11,      26,      -8
     792,      65,       8,      16,      13
     392,       5,      10,       4,       1
     212,      75,       4,      -8,      15
    2078,      10,      22,      -8,       2
    5908,     -25,      32,      30,      -5
    3240,      50,      27,     -11,      10
    1224,     110,      14,      13,      22
     204,      60,       6,      -5,      12
     684,      40,      12,       7,       8
    2274,       0,      21,      16,       0
     -34,     -30,      -5,       2,      -6
    1362,      80,      15,      14,      16
    1476,      55,      18,       8,      11
    2000,      45,      22,       2,       9
    2502,     135,      21,      17,      27
    1230,     195,       9,      19,      39
    1996,     -25,      15,      24,      -5
     384,      70,       8,       7,      14
    2384,     110,      16,      25,      22
     798,      -5,       6,      19,      -1
     298,      20,       9,       0,       4
    2696,     110,      25,       5,      22
    2792,       5,      19,      26,       1
    1008,     105,       0,      22,      21
    1242,     -40,      16,      12,      -8
     376,       5,       6,      12,       1
