      w0,       z
     338,      26
    -130,     -10
     117,       9
     143,      11
     260,      20
     299,      23
     104,       8
     130,      10
     169,      13
       0,       0
     325,      25
     247,      19
     -39,      -3
     364,      28
     169,      13
     182,      14
      39,       3
     377,      29
      13,       1
     169,      13
     104,       8
     104,       8
      91,       7
      91,       7
     234,      18
      39,       3
     -78,      -6
     247,      19
      26,       2
     338,      26
      26,       2
     143,      11
     130,      10
     260,      20
      91,       7
     143,      11
       0,       0
      52,       4
      13,       1
      52,       4
      13,       1
     325,      25
     286,      22
     156,      12
     117,       9
     182,      14
      26,       2
      78,       6
       0,       0
     312,      24
     299,      23
      13,       1
     338,      26
      39,       3
     130,      10
     195,      15
     -13,      -1
     -91,      -7
      52,       4
      13,       1
     195,      15
     -78,      -6
     -65,      -5
     156,      12
     195,      15
      52,       4
      26,       2
      26,       2
     -52,      -4
     481,      37
     234,      18
     169,      13
     377,      29
     260,      20
       0,       0
     312,      24
      39,       3
     182,      14
      91,       7
      91,       7
     390,      30
     -52,      -4
     104,       8
      78,       6
     260,      20
     247,      19
     221,      17
     507,      39
    -104,      -8
     234,      18
     130,      10
     -13,      -1
     117,       9
       0,       0
     130,      10
     208,      16
     -13,      -1
     -91,      -7
      13,       1
     442,      34
      52,       4
     130,      10
     117,       9
      78,       6
      91,       7
    -104,      -8
     338,      26
     -26,      -2
     286,      22
     247,      19
      39,       3
     195,      15
     273,      21
     156,      12
     312,      24
     117,       9
     338,      26
     234,      18
      26,       2
      91,       7
      13,       1
     312,      24
     455,      35
     117,       9
      13,       1
     208,      16
      78,       6
     221,      17
     286,      22
     -26,      -2
     130,      10
     182,      14
      26,       2
     143,      11
      13,       1
      52,       4
     104,       8
     104,       8
     325,      25
      39,       3
      78,       6
     143,      11
     117,       9
     351,      27
     299,      23
       0,       0
      26,       2
     117,       9
     143,      11
    -299,     -23
     234,      18
      65,       5
      91,       7
     208,      16
     208,      16
     377,      29
     299,      23
     234,      18
     403,      31
    -117,      -9
      52,       4
     416,      32
     130,      10
     117,       9
     130,      10
     208,      16
     169,      13
      65,       5
      78,       6
     195,      15
     169,      13
     143,      11
     130,      10
      65,       5
     104,       8
       0,       0
     234,      18
     156,      12
     312,      24
      78,       6
     -26,      -2
     117,       9
     130,      10
     429,      33
     104,       8
      52,       4
     195,      15
     117,       9
     221,      17
     143,      11
     169,      13
     182,      14
     117,       9
      65,       5
     260,      20
     247,      19
     -13,      -1
     208,      16
     156,      12
      39,       3
     117,       9
     -26,      -2
     -91,      -7
     338,      26
     260,      20
     299,      23
      52,       4
     221,      17
       0,       0
     182,      14
     -26,      -2
     -52,      -4
     169,      13
     143,      11
      78,       6
     182,      14
     286,      22
      78,       6
     169,      13
     104,       8
     -26,      -2
      39,       3
     312,      24
     390,      30
      78,       6
     234,      18
     130,      10
     351,      27
    -182,     -14
     208,      16
       0,       0
     260,      20
     247,      19
      65,       5
     -26,      -2
     104,       8
     143,      11
      39,       3
     -26,      -2
     390,      30
     234,      18
     169,      13
     286,      22
     130,      10
     273,      21
      52,       4
     325,      25
     260,      20
    -130,     -10
      78,       6
      52,       4
       0,       0
      52,       4
       0,       0
     117,       9
     143,      11
      52,       4
    -130,     -10
      91,       7
      52,       4
     130,      10
     117,       9
     130,      10
     234,      18
     182,      14
    -117,      -9
     182,      14
    -117,      -9
     104,       8
      26,       2
     -78,      -6
     117,       9
     -13,      -1
     156,      12
     403,      31
     208,      16
     195,      15
     130,      10
     351,      27
      65,       5
     247,      19
      65,       5
      91,       7
     221,      17
       0,       0
     195,      15
     221,      17
      39,       3
     156,      12
     117,       9
     169,      13
       0,       0
     221,      17
     273,      21
     130,      10
     182,      14
     104,       8
    -143,     -11
     182,      14
     247,      19
     143,      11
       0,       0
     208,      16
     -65,      -5
     260,      20
     247,      19
     299,      23
      65,       5
    -143,     -11
     195,      15
     156,      12
     221,      17
     -26,      -2
      39,       3
      91,       7
     247,      19
      78,       6
      78,       6
      52,       4
      26,       2
     312,      24
    -130,     -10
     -13,      -1
      91,       7
      13,       1
      26,       2
    -299,     -23
     234,      18
     260,      20
     208,      16
     130,      10
     104,       8
     221,      17
     169,      13
     182,      14
     299,      23
     130,      10
     338,      26
     260,      20
      91,       7
     273,      21
     312,      24
     104,       8
     299,      23
     169,      13
     169,      13
     195,      15
     182,      14
     156,      12
      65,       5
     390,      30
     325,      25
     390,      30
     169,      13
     143,      11
      78,       6
     117,       9
     299,      23
     130,      10
      78,       6
     130,      10
      26,       2
     169,      13
     247,      19
      65,       5
     -26,      -2
     390,      30
      78,       6
     234,      18
      78,       6
     364,      28
      26,       2
      78,       6
     247,      19
     143,      11
     182,      14
     247,      19
      91,       7
     195,      15
     377,      29
     195,      15
     247,      19
     -65,      -5
     364,      28
      26,       2
     299,      23
    -117,      -9
    -234,     -18
     143,      11
     208,      16
     130,      10
     -91,      -7
     -78,      -6
     208,      16
     117,       9
     117,       9
     273,      21
     182,      14
     130,      10
     390,      30
     143,      11
     156,      12
     143,      11
      13,       1
      39,       3
      78,       6
     364,      28
     117,       9
     455,      35
       0,       0
     247,      19
     -91,      -7
     338,      26
     312,      24
     247,      19
     130,      10
     -13,      -1
      52,       4
     195,      15
     -26,      -2
      78,       6
     234,      18
     364,      28
      13,       1
     273,      21
     130,      10
     -91,      -7
     169,      13
     208,      16
      39,       3
     351,      27
     -39,      -3
     286,      22
     156,      12
     169,      13
     364,      28
     -26,      -2
      52,       4
     234,      18
      65,       5
      39,       3
     494,      38
     273,      21
      78,       6
      91,       7
     299,      23
      65,       5
     130,      10
      65,       5
       0,       0
      78,       6
     234,      18
     130,      10
      91,       7
      78,       6
     247,      19
     143,      11
     182,      14
     -13,      -1
     299,      23
     221,      17
      65,       5
     325,      25
     195,      15
     -52,      -4
     195,      15
     338,      26
      39,       3
     286,      22
    -104,      -8
     -78,      -6
     169,      13
      91,       7
     299,      23
      13,       1
     260,      20
      52,       4
     286,      22
     234,      18
     117,       9
     156,      12
     130,      10
       0,       0
     286,      22
     -26,      -2
     221,      17
     182,      14
     325,      25
      78,       6
     169,      13
     143,      11
     247,      19
     169,      13
     273,      21
      26,       2
    -156,     -12
     117,       9
     182,      14
       0,       0
     182,      14
     260,      20
       0,       0
     156,      12
     104,       8
     455,      35
     208,      16
     104,       8
      52,       4
     169,      13
      91,       7
     143,      11
     338,      26
