      w0,      w1,       x,       y,       z
     306,     188,      15,       8,      20
     418,      53,      28,       3,       5
     200,     206,       7,      11,      20
     426,      72,      28,       5,       6
    -156,     -90,      -9,     -15,       0
     424,      60,      26,     -18,      24
     130,     260,       0,      13,      26
     472,     274,      26,      34,      10
     178,     210,       7,      28,       6
     272,      25,      18,      -4,       7
     322,     121,      20,      19,       1
      48,     215,      -3,      23,      11
    -112,     209,     -15,      15,      17
     136,     135,       4,      -2,      21
     246,     218,      10,      13,      20
     338,      77,      21,       0,      11
     124,     203,       2,      14,      17
     348,     132,      21,      15,       6
     -98,       0,      -7,       0,       0
     172,     145,       8,      16,       7
     270,     283,      11,      32,      13
     138,     112,       6,       7,      10
     210,     266,       7,      28,      14
      92,      10,       8,      18,     -14
     358,      27,      26,      15,      -9
     328,      33,      23,       9,      -3
     188,     158,       8,      10,      14
     294,     125,      16,       1,      17
     270,      12,      19,       2,       0
     150,     138,       6,       9,      12
     172,      76,      10,       8,       4
     474,     222,      25,       2,      30
     378,     236,      19,      16,      20
     330,     314,      13,      22,      26
     216,      60,      14,      10,       0
     210,     273,       6,      21,      21
      86,     126,       1,       0,      18
     134,     257,       0,       9,      29
      92,      77,       2,     -14,      23
     240,     151,      12,      10,      13
     292,     189,      16,      28,       3
     296,      34,      22,      22,     -14
     212,     212,       7,       5,      26
      96,     215,      -1,       9,      23
     208,     137,      11,      17,       5
     108,     150,       2,       4,      18
     184,     109,       9,       3,      13
     234,     111,      13,       8,       9
     192,     202,       7,      15,      16
     138,     284,       0,      17,      26
     302,     -18,      22,      -3,       0
      80,     -61,       8,      -2,      -7
     466,     277,      23,      10,      31
     142,     131,       5,       2,      17
     222,     176,      10,      13,      14
     168,     195,       7,      29,       3
     528,     190,      32,      20,      10
     316,     221,      16,      24,      11
     214,     199,       9,      18,      13
     264,     169,      14,      20,       7
     368,     103,      23,       9,       7
     214,      83,      12,       1,      11
     104,     193,       2,      24,       7
     250,     146,      12,       1,      20
     208,     117,      11,       9,       9
     130,     167,       4,      15,      11
     120,     154,       3,       7,      16
     332,     125,      18,      -6,      23
      52,      89,       1,       9,       5
     330,     144,      18,       3,      18
      86,      63,       5,      14,      -3
     252,     162,      12,       6,      18
     124,     128,       2,     -16,      32
     316,     101,      21,      25,      -7
     244,     289,       9,      33,      13
     352,      45,      23,      -3,       9
     164,     268,       2,      12,      28
     224,      52,      15,      11,      -2
     272,     331,      10,      40,      13
     126,      32,       8,       3,       2
     366,     200,      19,      10,      20
     144,      96,       8,      16,       0
      34,      45,       1,       4,       3
     254,     109,      14,       3,      13
     350,     162,      19,       6,      18
     186,     140,       9,      14,       8
     386,     122,      23,       4,      14
     234,     114,      14,      19,       0
     228,     236,       9,      23,      14
     114,     212,       0,       5,      26
     314,     171,      18,      25,       3
     318,      69,      20,       1,       9
     332,     268,      14,      12,      28
      20,      47,      -1,      -5,      11
     306,     -85,      24,     -13,      -1
     280,     190,      15,      27,       4
     -64,      99,      -8,       6,       9
     246,      93,      15,      12,       3
     214,      96,      13,      16,       0
     126,      32,       8,       3,       2
     144,      71,       8,       6,       5
     474,     195,      26,       1,      27
     -14,     170,      -6,      19,       8
     292,       4,      21,       3,      -2
     370,     333,      16,      31,      21
     -36,      72,      -5,       5,       6
     106,      68,       5,       2,       8
     250,     340,       5,      10,      40
     400,      12,      29,       9,      -6
     182,     -47,      14,      -9,       1
     234,     168,      12,      21,       6
     206,     418,       0,      23,      40
     414,     110,      26,       9,       8
     190,     329,       3,      28,      23
     552,     237,      32,      22,      15
      88,     169,       0,       6,      19
     260,      16,      17,      -9,      10
     390,     166,      22,       9,      16
     336,     199,      17,      11,      19
      54,     161,      -2,       7,      17
     568,     408,      28,      40,      24
      38,     192,      -4,      11,      18
     152,      53,       9,       3,       5
       0,      84,      -2,      14,       0
      72,      90,       3,      15,       0
      42,      81,       0,       3,       9
