      w0,      w1,       x,       y,       z
     125,    -333,      -3,      12,      22
    1105,    3759,      22,      -6,       7
     157,    -185,       5,      -6,      16
     393,    1441,      14,      13,      -4
    1505,    5617,      26,      37,       6
     837,    3175,      20,      14,      -4
     409,     763,      11,       8,      19
     221,      21,      -8,      11,      24
    1161,    4189,      23,       3,       2
    1129,    2799,      19,       6,      43
      21,    -471,      -3,     -11,       9
     125,    -447,       0,      -3,      22
     -83,    -435,      -3,      -5,      -4
     397,    1023,      12,      18,      11
     133,     -15,      -8,       5,      13
    1377,    4261,      23,      15,      29
     333,    1221,      13,      15,      -4
     157,      37,       5,      31,      16
     869,    2185,      17,       5,      30
     121,     -93,       6,      -8,       8
     -83,    -327,      -3,      13,      -4
    1021,    3483,      21,       8,       8
     305,     513,      10,      -3,      12
      33,    -269,      -1,      28,      11
    1285,    4731,      24,      28,       5
      85,     -77,       5,      12,       7
    1117,    3489,      21,       9,      20
     513,    1695,      15,      14,       3
     253,     381,       9,       3,      11
     329,     597,      10,      11,      15
     305,     865,      11,      25,       6
     437,    1161,      13,       5,       9
     -91,    -321,       4,     -14,     -12
     169,     699,      10,      28,      -5
     -15,     -45,       6,       0,      -9
     133,     349,       8,      23,       1
    1145,    4237,      23,      11,       0
     885,    3139,      20,       8,       2
     369,     477,      10,      -9,      20
     301,     307,       8,      16,      22
     257,     465,      10,     -11,       6
     865,    2823,      19,      10,      10
     261,     489,       9,      21,      12
     169,    -389,      -1,       8,      28
     165,    -345,       1,      10,      26
    1249,    4273,      23,      17,      13
     393,    1489,      14,      21,      -4
     121,    -431,      -1,       1,      22
    1073,    4213,      23,       7,      -9
     197,     145,       8,     -11,       9
    -143,    -339,      -2,      15,     -11
     181,    -255,       0,      29,      29
     493,    1983,      16,      18,      -8
    -207,    -323,       2,       7,     -22
    1513,    5473,      26,      13,       7
     209,       9,       6,       9,      19
     137,    -335,      -1,      17,      24
       1,      -3,       6,       7,      -7
     665,    1665,      15,       9,      22
     313,     963,     -14,       8,       7
     889,    2799,      19,       6,      13
     133,    -183,       4,       9,      16
    2105,    7851,      31,      16,       6
       5,    -405,       0,       4,       7
     217,     207,       7,      22,      16
    -167,    -351,      -2,      13,     -14
     997,    3483,      21,       8,       5
     817,    2505,      18,       9,      14
     485,     915,      12,       0,      22
      -3,    -195,       4,       7,      -1
    3953,   15069,      43,       3,       6
     849,    2535,      18,      14,      18
     589,    2167,      17,       2,      -5
      81,    -359,      -1,      13,      17
     161,     519,      10,      -2,      -6
     465,    1453,      14,      15,       5
     621,    1917,      16,       7,       8
      89,    -237,       3,      12,      13
     425,     769,      11,       9,      21
      21,      87,      -8,      22,      -1
     433,     643,      11,     -12,      22
     129,      69,       6,      19,       9
     281,     681,      10,      25,       9
     425,     685,      11,      -5,      21
      85,    -213,       4,       4,      10
     173,     537,     -12,       1,       1
    1049,    3873,      22,      13,       0
     865,    2943,      19,      30,      10
      85,    -441,       1,      -6,      16
     153,      93,       6,      23,      12
     841,    2865,      19,      17,       7
     833,    2397,      18,      -9,      16
    1085,    3501,      21,      11,      16
    -107,    -417,       0,       2,      -7
     513,    1683,      15,      12,       3
     917,    3187,      20,      16,       6
     133,     -95,       5,       9,      13
     625,    1761,      15,      25,      17
    1741,    6405,      28,      19,       7
     153,    -351,      -2,      13,      26
     625,    1635,      15,       4,      17
     577,    1453,      14,      15,      19
    1749,    6333,      28,       7,       8
    -167,    -449,      -1,      -2,     -14
     173,     361,       8,      25,       6
    1121,    4243,      23,      12,      -3
     301,     465,       9,      17,      17
      49,     273,       7,      33,      -5
     121,     141,       7,      11,       4
      45,     283,       8,      12,     -10
     213,     369,     -11,       1,      11
      13,    -429,       0,       0,       8
     457,    1387,      14,       4,       4
     161,    -459,      -2,      -5,      27
     897,    2937,      19,      29,      14
    1073,    3897,      22,      17,       3
      61,    -405,      -3,       0,      14
    1593,    5943,      27,      18,       3
     241,     213,       7,      23,      19
     849,    2865,      19,      17,       8
    1409,    5395,      26,       0,      -6
     225,     117,       7,       7,      17
     117,     -47,      -7,      17,      14
    1389,    4527,      24,      -6,      18
    1705,    5871,      27,       6,      17
      57,    -267,       3,       7,       9
     865,    2739,      19,      -4,      10
      21,      87,      -8,      22,      -1
      85,    -267,      -3,      23,      17
     305,     681,      10,      25,      12
     629,    1965,      16,      15,       9
     273,     171,       7,      16,      23
     633,    1405,      14,       7,      26
     341,     933,      12,       3,       4
     745,    2799,      19,       6,      -5
    1085,    3585,      21,      25,      16
     653,    2227,      17,      12,       3
      21,    -423,       1,      -3,       8
     825,    2505,      18,       9,      15
     257,     117,       7,       7,      21
      81,     -21,       6,       4,       3
     105,     189,       7,      19,       2
    2221,    8311,      32,       6,       4
     529,    1599,      15,      -2,       5
     201,     177,       7,      17,      14
     557,    1137,      13,       1,      24
     337,     927,     -14,       2,      10
     645,    2323,      17,      28,       2
