      w0,      w1,       x,       y,       z
      99,      22,      22,       4,       4
     264,       8,       8,       6,      13
    1741,      33,      33,      15,      19
    3132,       5,       5,      21,      18
      47,      12,      12,      -2,      12
     667,       8,       8,      10,       8
     643,      -7,      -7,     -10,      12
     302,      -3,      -3,       7,      12
     100,       3,       3,       3,      18
     649,       3,       3,       9,      23
    1415,      19,      19,      15,     -11
    1889,      21,      21,      17,      -9
    1629,      14,      14,      15,      15
    2122,       9,       9,      18,      -5
     125,      21,      21,       1,      19
    1286,      15,      15,      14,      -1
     401,       9,       9,       8,       6
    4294,      14,      14,      25,       0
     117,      -4,      -4,       0,      30
     236,      27,      27,       5,      10
      29,       1,       1,       3,      11
    -136,      -2,      -2,       0,       1
     555,      20,      20,       6,      40
     -94,       4,       4,       0,       3
     455,      22,      22,       6,      28
     265,      23,      23,       5,      15
     320,       6,       6,       7,      10
     204,      10,      10,       5,      14
     538,      -4,      -4,      10,      -1
    2680,      11,      11,      20,      -3
    1580,      22,      22,     -15,       6
     336,       1,       1,       7,      14
      81,      -5,      -5,       5,       7
     503,      25,      25,       9,      -3
    3719,       9,       9,      23,      13
    1748,      12,      12,      16,       5
     375,      16,      16,       8,       0
     169,       5,       5,      -1,      31
    3311,      15,      15,      22,       0
     152,      16,      16,       3,      18
     919,      23,      23,     -11,      13
     134,      24,      24,      -4,       7
     346,      -1,      -1,       7,      16
    1823,       6,       6,      16,      16
    3206,       9,       9,      22,      -9
     -82,      12,      12,       1,       0
     642,      22,      22,      10,      -1
     473,       6,       6,      -7,      27
      33,       1,       1,       4,       6
    1955,      39,      39,      16,      16
     217,       2,       2,      -5,      19
    1092,     -11,     -11,      13,      10
    1224,       4,       4,      14,      -3
    7290,      22,      22,      32,      19
    2526,       7,       7,     -19,      12
     980,       7,       7,      12,       9
     756,      19,      19,      10,      13
      60,       2,       2,       0,      21
    1225,      11,      11,      13,      15
      75,      22,      22,      -1,      13
     801,      10,      10,      10,      22
    1242,       4,       4,      13,      20
    1485,       5,       5,      15,       3
     752,      18,      18,     -10,      13
     256,       8,       8,       7,       2
      62,      16,      16,       0,      15
    3242,       9,       9,      22,      -5
    5092,       9,       9,      27,      10
    1634,      22,      22,      15,      12
      22,      11,      11,      -1,      12
     135,       4,       4,       5,       9
     319,       8,       8,       7,       9
     751,      17,      17,      11,      -3
    1322,      -3,      -3,     -14,      11
    1281,      16,      16,      13,      19
    1546,       0,       0,      15,      12
     347,      15,      15,       7,       9
     847,       5,       5,     -11,      13
    5455,      17,      17,      28,       4
     788,      13,      13,       9,      34
     130,      15,      15,      -3,      16
     309,      16,      16,       4,      30
    2605,      11,      11,      19,      19
    4808,      15,      15,      26,      17
    3850,       0,       0,      24,      -5
    7075,      20,      20,      32,      -4
    -151,      15,      15,       1,      -9
    1302,      10,      10,      14,       3
     271,      12,      12,       6,      12
    5924,       3,       3,      29,      18
    1787,       6,       6,      16,      12
    1997,       3,       3,      17,      11
     -12,      19,      19,       5,     -14
      -9,       1,       1,      -1,      13
    8971,      18,      18,      36,      -4
     112,      24,      24,       3,      10
    3398,       3,       3,      22,      15
    3989,       1,       1,      24,      10
     -25,      -8,      -8,       3,       9
    7167,      25,      25,      32,       4
     -14,       6,       6,       0,      11
    1341,       4,       4,      14,      10
     301,       8,       8,       7,       7
     -11,      29,      29,       2,      -2
      53,       6,       6,       4,       6
    2354,      -9,      -9,      19,       0
    1140,       1,       1,      13,      10
    3118,      24,      24,      21,       8
    1613,      12,      12,      16,     -10
     -53,       3,       3,       3,       1
      46,       3,       3,       0,      19
     198,       7,       7,       2,      31
    1544,       4,       4,      15,      10
     537,       2,       2,       9,      11
     -22,      21,      21,       4,      -9
     125,      -2,      -2,      -3,      23
     257,      13,      13,       6,      10
     546,      16,      16,      -8,      19
     532,       3,       3,       9,      10
    6734,      18,      18,      31,       8
    2575,      26,      26,      19,       9
    2583,      19,      19,      19,      13
    3818,      36,      36,      23,      12
    1966,       8,       8,     -16,      31
    1495,      -6,      -6,      15,       9
    6765,       1,       1,      31,      19
    2618,       0,       0,      20,      -5
    -102,      13,      13,       2,      -5
     -73,      -6,      -6,       1,       9
     393,      11,      11,      -6,      26
     998,       0,       0,     -11,      32
    2140,       5,       5,      17,      26
     102,      -1,      -1,       3,      20
      38,      -8,      -8,       6,      -5
      81,      13,      13,      -5,      -1
      49,      -3,      -3,       3,      15
    6013,      14,      14,      29,      23
     295,      20,      20,       7,       1
     -76,     -12,     -12,       2,       9
    1336,      -3,      -3,      15,     -10
     300,      19,      19,      -7,       2
     217,      -1,      -1,       1,      39
     950,      13,      13,     -12,       3
    1074,      17,      17,      12,      15
     487,       3,       3,       9,       5
     578,      37,      37,      -6,      35
    1002,      17,      17,      12,       7
    2824,      20,      20,      20,       9
     101,      -8,      -8,       6,       2
     289,       3,       3,       6,      18
    -127,       7,       7,      -3,      -9
    2429,      -6,      -6,      19,       7
    2706,      16,      16,      19,      28
    1392,       1,       1,      14,      17
     516,      17,      17,       9,       2
    5765,      24,      24,      29,      -9
