      w0,      w1,       x,       y,       z
     318,       4,      23,       2,      19
    4536,      42,      19,      21,      13
    3804,      40,       7,      20,       5
    1791,      26,       0,      13,      27
    2628,      32,       8,      16,      18
    1412,      24,      19,      12,     -15
     482,     -12,      13,      -6,      21
    4456,      44,       5,      22,      -2
    2544,      32,       5,      16,      15
    3246,      36,       7,      18,      19
    1190,      20,      10,      10,      17
    2705,      34,       6,      17,      -1
     369,      10,       2,       5,      13
     361,      10,      18,       5,       1
     458,     -16,      23,      -8,       2
     217,      -6,      24,      -3,      16
     106,       0,      -2,       0,      11
     328,       2,      23,       1,      25
    3106,      34,      15,      17,      22
    1218,      20,      14,      10,      15
     314,      12,       0,       6,      -1
     257,       2,       6,       1,      23
     675,      10,      30,       5,      24
    6480,      52,       7,      26,      20
    1286,      22,       9,      11,       8
    6257,      50,      16,      25,      20
     124,       0,     -13,       0,      15
    2270,      30,      15,      15,      -1
    2364,      28,      30,      14,      12
     847,      18,      -2,       9,      14
    2234,      28,      15,      14,      23
     266,      -4,      10,      -2,      23
     -54,      -4,      10,      -2,      -9
     565,      10,      20,       5,      20
    2566,     -34,      13,     -17,      16
     835,      18,       6,       9,       4
    6177,      50,      16,      25,      12
      78,      -2,      19,      -1,       5
     254,       8,      20,       4,      -1
    2352,      30,      11,      15,      14
    3790,      38,      21,      19,      10
    1721,      26,      12,      13,       2
    1616,      24,      25,      12,      -3
     246,       6,      19,       3,       7
    8112,      58,      13,      29,      14
      26,       4,      10,       2,      -5
    1884,      28,      10,      14,      -4
    2517,      30,      26,      15,       5
   12863,      74,       8,      37,      23
     313,      -2,      24,      -1,      28
    5116,      46,       5,      23,      23
     320,     -10,      15,      -5,      14
    3743,      38,      14,      19,      20
     636,      18,      -3,       9,      -6
    2132,      32,      -4,      16,     -10
    1295,      22,      12,      11,       5
     571,      14,      10,       7,       4
      52,       0,       6,       0,       4
    2066,      28,       2,      14,      27
     378,     -12,      24,      -6,      15
    2948,      34,      13,      17,      10
     164,       2,       5,       1,      14
     213,     -10,       4,      -5,       0
    3531,      38,      12,      19,       3
    6651,      54,       0,      27,       9
     827,      18,      18,       9,     -10
    8705,      62,      -8,      31,      32
    2428,      32,      -2,      16,      16
     846,      16,      22,       8,       5
    3098,      32,      33,      16,      20
     932,      20,       1,      10,       2
     194,      -6,       7,      -3,      12
    1921,      26,      16,      13,      16
    1942,      28,       3,      14,      13
     118,      -6,      -7,      -3,       3
    6300,      50,      25,      25,       0
     872,     -16,      14,      -8,      38
    3046,      36,       7,      18,      -1
    2140,      28,      21,      14,       4
    2469,      34,      -8,      17,       2
     110,       0,       0,       0,      11
     717,      10,      16,       5,      38
    5373,      50,     -16,      25,      18
    1239,      22,      10,      11,       2
    1049,      18,      20,       9,      10
    1092,      20,      11,      10,       6
    5332,      48,       3,      24,       7
    4996,      44,      20,      22,      16
    3426,      36,      16,      18,      19
    3166,      36,       3,      18,      19
    1824,      24,       7,      12,      43
    4936,      44,      15,      22,      22
    1581,      26,       8,      13,      -6
    5236,      46,      21,      23,      -5
    2865,      34,       6,      17,      15
     340,     -10,      25,      -5,      19
    4841,      46,      -4,      23,      18
    3372,      38,       3,      19,       6
    2326,      32,      -1,      16,       4
     226,       8,       7,       4,       4
    2612,      30,      21,      15,      23
    2444,      32,       0,      16,      14
    8076,      58,      17,      29,      -2
    7960,      58,      11,      29,       5
    5301,      46,      18,      23,       9
    2352,      32,      -9,      16,      21
    5448,      48,       4,      24,      16
    1696,      26,      -5,      13,      25
    2256,     -34,      27,     -17,       6
     290,       4,      16,       2,      19
     225,      10,      10,       5,      -7
     836,      16,       7,       8,      19
    4542,      42,      21,      21,       9
    1726,      24,      15,      12,      22
     396,      16,     -10,       8,      -8
    2876,      36,      -4,      18,       4
     432,      12,      11,       6,       2
    1964,      28,      20,      14,     -12
     735,     -18,      12,      -9,       9
    1306,      20,       8,      10,      31
     502,      12,       6,       6,      13
     164,      10,      -3,       5,      -4
    1844,      28,       5,      14,       0
     -54,      -4,      20,      -2,      -9
     757,      14,      34,       7,       1
     120,       0,      10,       0,      10
    4017,      42,      -4,      21,      14
    4132,      42,       1,      21,      14
     984,      18,      15,       9,       9
    1748,      24,      18,      12,      20
    1328,      24,      -2,      12,       6
    6550,      52,       7,      26,      27
    2946,      36,       3,      18,      -3
     248,       4,       3,       2,      20
     670,      12,      27,       6,      13
    2124,      30,       7,      15,      -2
    1401,      22,      24,      11,       0
     -12,       8,     -11,       4,      -9
    6384,      52,       0,      26,      30
    1504,      24,      22,      12,     -10
     370,       8,      11,       4,      16
    2233,      30,      14,      15,      -3
    3984,      40,      12,      20,      12
    6760,      52,      27,      26,      -8
     583,      14,       8,       7,       7
    8582,      58,      23,      29,      30
    3045,      34,      16,      17,      14
      55,       2,      22,       1,      -2
      96,       0,       8,       0,       8
     619,      14,      22,       7,      -2
    7338,      54,      23,      27,      11
     253,      10,       4,       5,       0
     488,       8,      19,       4,      23
    1040,      18,      11,       9,      19
     345,      -2,      16,      -1,      32
     901,      18,       2,       9,      15
    1149,      22,     -10,      11,      19
    3668,      38,      19,      19,       2
     754,      18,      -5,       9,       8
    1571,      26,       2,      13,       2
    2094,      28,      10,      14,      17
     816,      16,      11,       8,      13
     632,      14,      -1,       7,      20
     106,       8,       2,       4,      -5
    3914,     -42,       5,     -21,       4
     241,       6,       6,       3,      13
     376,      12,     -16,       6,      18
    5511,      46,      22,      23,      20
    6288,      52,       8,      26,      -2
    8438,      60,       9,      30,       5
     226,       6,      -3,       3,      16
    2635,      30,      30,      15,      10
    3376,      36,      16,      18,      14
     128,       2,      13,       1,       8
     856,      18,       7,       9,       5
     288,      12,       3,       6,      -6
     606,      16,      -5,       8,       8
     366,      12,      -6,       6,       9
    4366,      44,       5,      22,     -11
     256,      -4,       7,      -2,      22
    7889,      58,      10,      29,       1
     707,      14,      14,       7,      14
     -58,       0,      11,       0,      -8
    1056,      16,      12,       8,      36
    4194,      40,      17,      20,      22
     903,      18,      14,       9,       2
     481,     -14,      18,      -7,      13
     412,     -16,      29,      -8,       1
    3226,      36,      11,      18,       9
     396,       6,       7,       3,      28
    1096,      20,       8,      10,      10
    1007,      18,      18,       9,       8
    1232,      22,      11,      11,       0
     372,       8,       8,       4,      18
    5500,      48,      11,      24,       3
     222,       4,      14,       2,      13
     849,      18,       0,       9,      12
      -8,      -2,      33,      -1,      -5
    1234,      22,       5,      11,       8
    3066,      36,      -3,      18,      21
     452,       8,      18,       4,      20
    1008,      18,       9,       9,      18
    5390,      48,       1,      24,      18
    1124,      20,      17,      10,       2
    1383,      22,       8,      11,      19
     817,      14,      24,       7,      16
     563,      10,       4,       5,      31
     108,       4,      13,       2,       2
     658,      12,      28,       6,      11
    4250,      44,       1,      22,     -13
     866,      16,      -1,       8,      30
     412,       8,      -2,       4,      28
    1121,      18,      22,       9,      15
     161,      -2,      12,      -1,      14
     966,      16,      14,       8,      25
    7597,      54,      24,      27,      34
    4344,      42,      15,      21,       3
    1628,      24,      13,      12,      15
     846,      18,      17,       9,      -7
     294,       8,      10,       4,       9
    2219,      30,      12,      15,      -1
      11,      -2,      12,      -1,      -1
     482,       8,      13,       4,      26
     360,       8,       6,       4,      18
     656,      16,      -4,       8,      12
    2711,      30,      38,      15,       4
     251,       6,      14,       3,      10
    1331,      22,       4,      11,      19
    2510,      32,      12,      16,      -1
     246,       0,      -2,       0,      25
    4066,      40,      18,      20,       7
     296,       6,      33,       3,       5
    7196,      56,       7,      28,      -7
    9436,      62,      29,      31,     -17
    1904,      28,      -5,      14,      22
     160,      -2,      11,      -1,      14
       4,       0,       2,       0,       0
     866,      16,      18,       8,      11
    1702,      24,      19,      12,      14
    2410,      32,       7,      16,      -2
     350,       8,       6,       4,      17
     598,      14,       3,       7,      13
     512,      12,       6,       6,      14
    2548,      32,      18,      16,      -8
    4168,      40,      19,      20,      15
     586,      16,      10,       8,      -9
    1070,      18,      11,       9,      22
    1556,      26,       5,      13,      -4
    2076,      26,      19,      13,      27
    4476,      44,       0,      22,      12
     286,      -4,      16,      -2,      25
    1284,      24,     -13,      12,      17
     970,      20,      -5,      10,      13
   12062,      72,       6,      36,      17
      60,       0,       0,       0,       6
     236,       6,      13,       3,       9
     996,      18,      17,       9,       8
    3215,      38,      -4,      19,       5
    4066,      40,      13,      20,      18
    4836,      44,      15,      22,      12
     512,      12,      11,       6,      10
     556,      10,      23,       5,      17
     150,       0,      25,       0,      10
    2132,      28,      18,      14,       8
     823,      18,       4,       9,       5
     212,       8,       8,       4,       2
     652,      10,      41,       5,      14
    3759,      38,      20,      19,       9
    3895,      38,      16,      19,      31
   10043,      62,      38,      31,      14
    7825,      58,       6,      29,       7
     390,       8,      26,       4,       9
    1303,      22,       8,      11,      11
