      w0,      w1,       x,       y
       0,     260,       0,      10
     392,     217,       7,       7
     392,     833,       7,      18
     288,      74,       6,       1
      72,     -37,      -3,      -2
      32,     630,       2,      16
     968,     729,      11,      16
    5832,     377,      27,       5
    2312,    1287,      17,      22
    2048,    1684,      16,      26
    2312,     187,      17,       0
    2592,     194,      18,      -1
    1352,     403,      13,      10
    2048,     176,      16,       0
    1352,     683,      13,      15
       0,       0,       0,       0
    1152,     740,      12,      16
      32,     130,       2,       6
       8,      31,       1,      -5
     200,      51,       5,      -1
     800,     110,      10,       0
    2592,     738,      18,      15
    2048,     484,      16,      11
    2592,     506,      18,      11
     800,     146,      10,      -6
     968,    1221,      11,      22
    1352,     957,     -13,      22
    5832,     557,      27,      10
    2888,    1505,      19,      24
     392,      97,       7,       2
     392,     531,      -7,      16
    2888,     289,      19,       5
    5000,     535,      25,      10
      72,     803,      -3,      19
    1568,     414,      14,      10
    2312,     183,      17,      -1
     968,     801,      11,      17
       8,      25,      -1,       3
     288,     674,       6,      16
     800,     110,      10,       0
    2312,     -47,     -17,       7
     512,     504,       8,      13
     392,     231,      -7,      11
    1568,    1074,      14,      20
     392,     493,       7,      13
    1800,     381,      15,       9
       8,       7,       1,      -1
     392,     185,       7,       6
      32,     942,       2,      20
     512,     768,       8,      17
     200,    2185,      -5,      32
    2048,     184,      16,      -4
     512,     108,       8,       2
     648,    1019,       9,      20
     800,     586,      10,      14
    2592,     810,     -18,      21
     128,     304,       4,      10
     648,    2079,       9,      30
    1152,    1052,      12,      20
    2312,     867,      17,      17
       0,      36,       0,      -6
    1352,     163,      13,       2
     968,    1417,      11,      24
    1152,     -52,     -12,       5
   10952,     767,      37,      12
    1568,     154,      14,       0
    2592,     338,      18,       7
     800,     218,      10,       6
    1800,     341,      15,       8
     288,      62,       6,      -2
    2312,     295,      17,       6
    1352,     199,      13,      -7
     800,     190,      10,       5
      72,      69,       3,       3
     200,    1141,      -5,      23
    7688,     377,      31,       3
    2048,    1796,      16,      27
      32,    1878,       2,      29
       8,      47,       1,      -6
    2592,     198,      18,       0
    2312,     327,      17,       7
    5832,     305,      27,      -4
     288,    1802,       6,      28
     800,     190,      10,       5
     512,    1008,       8,      20
    4232,     253,      23,       0
     800,     286,      10,       8
    1152,     888,      12,      18
     968,     129,      11,      -4
    1800,     185,      15,       2
    3200,    1140,      20,      20
     288,      74,       6,      -4
    1152,    1428,      12,      24
      32,     130,       2,       6
    3200,    1840,      20,      27
    1152,     392,      12,      10
       0,       0,       0,      -3
    2888,     517,      19,      11
    1352,     283,      13,       7
    1800,    1001,      15,      19
    2592,     338,      18,       7
     648,     515,       9,      13
      32,     562,       2,      15
       8,     909,      -1,      20
      72,     249,       3,       9
     512,     264,       8,       8
    3200,     300,      20,      -8
     392,     553,       7,      14
    5000,     751,      25,      14
       0,     680,       0,      17
      72,      29,       3,      -2
    4232,     333,      23,       5
     512,     264,       8,     -11
     968,     129,      11,      -4
     200,     163,       5,       6
     512,     748,      -8,      19
    1800,     425,      15,      10
     512,     196,       8,       6
     512,     328,      -8,      13
    4232,     253,      23,      -3
    2592,     338,      18,       7
    2048,     716,      16,      15
    1152,     812,      12,      17
    1800,     773,      15,      16
       8,     551,       1,      15
     968,     537,      11,      13
     392,    1477,       7,      25
    4232,     729,      23,      14
     128,     304,       4,      10
       8,      69,      -1,       5
    1152,     168,      12,       3
     800,     586,      10,      14
     800,      66,     -10,       8
     800,     370,      10,      10
      32,     586,      -2,      16
     392,     231,      -7,      11
       8,     165,      -1,       8
    1352,     359,      13,     -12
    1352,     283,      13,       7
    4232,     669,      23,      13
     288,     426,       6,      12
       8,       9,      -1,       2
       8,     825,      -1,      19
     648,    1107,       9,      21
      32,      34,      -2,       4
       0,     756,       0,      18
    3872,    1538,      22,      24
     200,      55,       5,       0
     512,      96,       8,       1
