      w0,       y,       z
    -133,      -2,       3
     679,      16,      31
    -188,       2,      -2
     431,      11,      33
    -134,      -3,       2
      13,       0,      17
      34,       7,      10
     188,      -7,      24
     386,      15,      10
     107,      -6,      19
     233,      11,      15
     108,       8,      14
     318,       9,      30
       9,      -3,      15
    1662,      29,      14
     838,      22,       4
     635,      17,      21
      21,       9,       3
    1142,      25,       6
      45,       4,      17
     327,      17,      -7
     397,      15,      11
    1772,      29,      24
      34,      -4,      16
    -288,       3,     -12
     353,      15,       7
     725,      20,       9
    -102,       6,       0
    -102,       5,       2
     153,      -2,      29
     202,      10,      16
     460,      14,      22
     306,      14,       8
     -68,       3,       8
     229,       8,      25
     481,      16,      13
     131,      -9,      13
    1662,      29,      14
     -64,      11,     -12
     109,       2,      25
    -117,       1,       5
    -177,       2,      -1
     -79,       8,      -3
     694,      18,      20
    1220,      24,      22
     156,      11,       8
     857,      20,      21
     332,      11,      24
     639,      18,      15
    1286,      24,      28
     -10,      -7,       6
      34,      -7,      10
     812,      19,      24
      20,      -3,      16
     240,      14,       2
     474,      15,      18
    -119,       0,       5
      98,       9,      10
     114,       1,      26
       8,       6,      10
     235,      12,      11
    1527,      30,      -9
     136,      10,      10
     -46,       8,       0
     219,       9,      21
    -153,       4,      -1
    1109,      25,       3
      86,      14,     -12
     -32,       7,       4
     118,       5,      22
     309,      15,       3
     437,     -16,       9
     448,      17,       4
       8,       5,      12
     422,     -12,      28
     415,      17,       1
     -95,       1,       7
     -13,      -3,      13
     153,      13,      -1
     983,      23,       9
    1137,      23,      23
      54,       2,      20
    1585,      29,       7
     -76,       4,       6
    -216,       1,      -4
     257,      12,      13
     807,      21,       9
     494,      13,      30
      78,       7,      14
     229,       8,      25
      92,      10,       6
     158,      12,       4
     747,      20,      11
      81,      12,      -3
     840,      21,      12
      30,       6,      12
     123,      11,       5
     257,      12,      13
     460,      14,      22
     525,      16,      17
     162,       5,      26
     232,       7,      28
    -152,       0,       2
     -84,      -1,       8
     200,      11,      12
     679,      17,      25
    1394,      28,       0
      19,      -5,      13
      92,      12,      -2
      56,       4,      18
     244,      11,      16
     657,      17,      23
     287,      15,       1
     735,      19,      17
    1090,      26,      -8
      86,       8,      12
     342,      15,       6
    1739,      29,      21
     266,      11,      18
     120,       9,      12
      12,      -4,      14
     100,      -4,      22
     437,      16,       9
     295,       8,      31
     133,       7,      19
     570,      19,       2
     404,      16,       6
     360,      16,       2
     163,       8,      19
    -109,      -7,      -3
    1504,      28,      10
     375,      15,       9
      79,       0,      23
    1104,      23,      20
     118,       5,      22
     140,       6,      22
    -175,       4,      -3
      43,      -2,      19
     917,      23,       3
     142,      -9,      14
     398,     -11,      30
     461,      13,      27
    2605,      36,      17
     -89,       9,      -7
    -179,       5,      -5
    1284,      27,       0
    1647,      27,      33
     547,      17,      13
     659,     -20,       3
     -69,       6,       3
    1471,      27,      17
     617,      15,      31
     441,      15,      15
    -168,      -6,      -6
     394,      14,      16
    2248,      34,      10
     153,      13,      -1
     169,      10,      13
      -3,       5,      11
      57,      11,      -1
     -80,       5,       4
     472,      13,      28
      12,      15,     -24
     312,      12,      18
     108,       8,      14
     222,      11,      14
     873,      23,      -1
     240,       8,      26
     507,      15,      21
     900,      19,      32
     860,      22,       6
     145,      11,       7
     177,      -7,      23
     713,      19,      15
    -164,      -4,      -2
     895,      21,      17
      42,       8,       8
     382,      16,       4
      56,       4,      18
     -18,       1,      14
    -113,       6,      -1
      30,      -6,      12
     296,      -9,      28
     691,      19,      13
     177,       4,      29
    -102,       5,       2
     158,      10,      12
    -135,       5,      -1
     158,      12,       4
    1244,      26,       6
     318,       9,      30
    1383,      27,       9
     -25,       5,       9
    -101,       8,      -5
     -18,       1,      14
     628,      18,      14
    -216,      -1,      -4
     321,      11,      23
      35,       0,      19
    -174,       0,       0
      43,       9,       5
     251,       8,      27
    -221,       2,      -5
    1186,      25,      10
     -89,       2,       7
      30,       6,      12
    1093,      23,      19
     230,       2,      36
     763,      21,       5
     119,      14,      -9
    1025,      22,      21
     926,      22,      12
     426,      16,       8
    1022,      24,       4
      56,       7,      12
    -108,       0,       6
      31,      -8,       7
      37,      12,      -7
     470,      16,      12
     262,       8,      28
      56,       4,      18
     525,      17,      11
     584,      18,      10
      30,       5,      14
     829,      21,      11
    -221,       2,      -5
     309,     -15,       3
     727,      18,      23
     581,      19,       3
    1104,      23,      20
     364,      15,       8
    -161,       1,       1
     134,      11,       6
     416,      14,      18
     169,      10,      13
     752,      21,       4
    -102,       5,       2
     -69,      -5,       5
     -21,       7,       5
     441,      15,      15
     444,      12,      30
     -84,      -1,       8
       9,       3,      15
     177,       7,      23
     -80,       6,       2
    -101,       3,       5
    -174,       0,       0
    1332,      26,      14
      -3,      -6,       9
    1714,      30,       8
     558,      16,      20
      53,       8,       9
     547,      17,      13
    1065,      25,      -1
    1328,      28,      -6
     394,      14,      16
     727,      18,      23
      46,       0,      20
    1494,      25,      38
      26,      -1,      18
     279,      10,      23
    1351,      25,      25
     276,      15,       0
     273,      14,       5
     230,     -13,       6
     273,      14,       5
      -3,       5,      11
    -153,       4,      -1
     -75,       0,       9
      92,      12,      -2
     268,      10,      22
     724,      19,      16
    -240,       0,      -6
      67,      -4,      19
     317,      14,       9
     318,      13,      14
     650,      18,      16
      -2,       3,      14
     749,      18,      25
     571,      20,      -5
     276,      15,       0
      92,      12,      -2
     -18,       1,      14
     295,      14,       7
       1,      -4,      13
     -12,       2,      14
     -91,       5,       3
     329,      13,      15
     119,       8,      15
     939,      23,       5
      75,       3,      21
    1022,      20,      36
     195,       6,      27
     342,      15,       6
     178,      11,      10
    2441,      35,      15
     404,      16,       6
     317,      14,       9
     470,      16,      12
     912,      20,      26
     -14,       5,      10
     252,      13,       8
     -84,       1,       8
     338,      16,       0
     257,      10,      21
     460,      14,      22
     -73,      -1,       9
      45,       7,      11
     -14,       5,      10
    -329,       4,     -17
      78,       4,      20
    -348,      -1,     -16
    -152,       0,       2
       8,       6,      10
     915,      22,      11
     257,      -1,      39
     569,      16,      21
    -282,       1,     -10
    -102,       6,       0
    -285,       7,     -19
    3321,      42,      -3
     725,      20,       9
    1715,      31,      -3
      53,       8,       9
     101,       0,      25
      13,       0,      17
     386,      15,      10
    -249,      -1,      -7
     -89,       2,       7
     -31,       0,      13
     492,      17,       8
     123,      11,       5
    -100,       2,       6
     -54,       4,       8
    -109,       7,      -3
     262,      14,       4
     118,       6,      20
    4302,      48,     -12
     690,      17,      26
     195,      -5,      29
     -58,      -6,       4
     -14,       5,      10
    -229,       0,      -5
    1329,      25,      23
     266,      11,      18
     136,      12,       2
     285,      13,      11
     142,       9,      14
    -133,      -2,       3
      -3,       5,      11
     158,      12,       4
     257,      10,      21
      53,       3,      19
