      w0,      w1,       x,       y,       z
    3939,     462,      21,      23,       0
    1762,     321,      15,       6,      -1
    1673,    -240,     -15,       3,      10
    -111,      -4,      -1,       6,       2
      77,      74,      -4,       0,      18
      71,     -20,      -5,      19,      10
     291,     213,       6,      11,       9
     148,      69,       6,       4,      -7
     777,     -44,     -11,      20,      22
    4198,     839,      23,      -3,      37
    1013,     350,      11,       9,      12
    1433,     380,      14,      -2,       8
     -46,     117,       0,      10,      13
    2149,     343,      16,      13,      -1
     531,     388,       7,      15,      26
     222,     255,       3,      31,      21
     434,     276,       6,      23,      16
     864,     238,      10,      15,       2
    1074,     359,      11,      13,      13
    5452,     644,      26,       5,       8
      16,      42,       6,      -9,     -10
     648,     130,      10,       3,     -10
    1151,     408,      12,       4,      16
      77,     102,       3,      21,       4
     321,       8,      -7,       5,      18
    2750,     405,      18,      14,       1
     875,     342,       9,      24,      16
     109,     232,       4,       6,      16
     330,     429,       6,       2,      33
    6046,     693,      27,      10,      11
    2444,     270,      18,       3,     -14
    1266,     -25,     -13,       9,      29
     -34,      91,      -2,       0,      15
    6660,     787,      28,      14,      19
     202,      69,       6,      10,      -7
      83,     284,      -1,      23,      34
    3939,     678,      21,      18,      24
    5780,     608,      26,      17,       4
    3776,     475,      22,       2,      -1
      46,     180,       0,      29,      20
    1943,     582,      15,       8,      28
    5401,     654,      24,      32,      14
    1346,     395,      11,      31,      17
    4716,     636,      24,       7,      12
     366,     267,       6,      16,      15
    6600,     719,      29,      -1,       9
     646,     176,       8,      25,       0
    2506,     437,      17,      15,       7
     906,     225,       9,      32,       3
    8917,     960,      33,       6,      26
    6144,     950,      26,      23,      42
    1176,    -187,     -13,       9,      11
       6,      69,      -3,      14,      15
     314,     222,       6,      13,      10
     -90,     -44,      -2,      19,       0
     -59,     -48,      -3,       6,       2
     -69,      22,       1,      16,       0
     -22,    -115,      -4,      -6,      -3
     -44,     -21,      -3,       1,       5
    1076,     219,      12,       6,      -5
    1757,    -132,     -15,       1,      22
     441,     154,       7,      19,       0
    1062,     413,      11,      10,      19
     482,     330,       6,      25,      22
     145,     236,       5,       2,      14
    2419,     414,      18,      -2,       2
    1128,     557,      11,       9,      35
     538,    -153,      -9,      -1,       5
    4046,     525,      21,      26,       7
     481,     532,       7,       2,      42
     -11,      84,       3,       8,       2
    1644,     627,      15,     -10,      33
    2409,     364,      19,     -14,      -6
