      w0,       x,       y,       z
     434,      -1,      28,       7
    1660,      35,       4,       9
    2790,      16,       9,      15
     306,      20,       2,      -2
     570,       6,       7,       5
     252,       0,      13,       4
    1018,      22,       6,       2
    4343,      27,      11,      17
    3473,       3,      17,      20
     993,       5,      11,       8
    6958,      36,      21,      14
    4652,      30,      17,      11
    3420,       2,      20,      20
    2370,      16,      19,       3
     166,      10,       2,      -2
     298,       0,      -1,       6
    4198,       4,       8,      23
    2072,     -16,       1,      17
    1170,      10,      15,       0
     662,     -12,      11,      14
    2404,       7,       4,      17
   12283,      27,      29,      30
    1560,      21,      10,      -2
     936,      12,      10,       1
    3166,      16,      23,       7
    1164,       8,      17,      -4
    1016,      15,       2,      10
    3276,      21,       0,      21
     130,     -14,       0,      -5
     678,       0,      34,       7
    4396,      26,      21,       7
    3143,       9,      17,      16
    1038,      10,       5,       9
   -1773,      27,      -9,       0
     382,       8,       6,      -1
     -48,     -11,       2,       3
     790,      20,       4,      -6
      -8,      -2,       9,       2
     220,      21,       0,       5
     458,      12,       4,       3
    6897,      19,      11,      27
    4375,      21,       3,      23
    4288,      12,      11,      21
    1290,       5,       8,      11
    3160,       2,      21,      19
    2720,       3,      10,      18
   12529,      13,      21,      38
     931,       7,      15,      -4
    5978,      11,      -2,      29
    4096,      11,       6,      22
     652,      30,       3,      -1
    6678,      22,      21,      21
    5333,      21,       7,      24
       0,      -8,       0,       0
    5653,      25,      19,      17
    1130,      12,      -4,      14
    1368,       7,      24,       0
    1807,      13,      13,       8
    1346,       6,       8,      11
    2694,      12,      13,      14
    1712,      12,      17,       4
     812,       3,      14,       7
    3624,      30,      13,      10
    3028,       9,      12,      17
     666,      10,       6,      -6
    6328,       4,       5,      29
      21,      -9,       7,       7
    5128,       2,      24,      25
    2331,      21,       1,      17
    5481,      15,      27,      18
    2562,      19,      16,       6
    3910,      21,       6,      20
    2070,       2,      26,      14
    1865,       5,      25,      10
     462,       2,      21,       0
    1400,       6,       2,      13
    1763,      11,      19,       4
    4568,      26,      23,      -6
   10603,       9,      17,      36
    1928,       8,      20,       9
    3332,       0,       7,      21
     154,       0,       8,       3
    2686,      13,      14,      13
    5097,      17,      23,      17
    3836,       6,       5,      22
     540,       4,      15,       0
    1776,       6,      -8,      17
    2199,       7,      19,      12
    3296,      -1,      20,      21
     357,     -11,      11,      12
    1204,       7,      12,       8
    2490,      16,      20,       3
     505,       7,       5,       5
    7222,      19,      16,      26
     996,       6,       1,      11
    3344,      47,       8,       9
    2352,       2,       8,      17
    7104,      34,      19,      18
    -371,      13,      -9,       8
    2758,      34,       8,      10
    7682,      18,      23,      25
    2296,      20,      12,       8
     519,      -3,       7,     -10
    1322,      17,       8,       6
     478,       2,      21,       1
    1161,       7,       9,       9
    5118,       0,      19,      26
    1989,      15,      13,       8
