      w0,      w1,       x,       y,       z
     425,     -48,      -8,       9,      17
      97,      72,      12,       1,       3
    1507,       6,       1,      17,      34
     787,      24,       4,       7,      32
     432,     108,      18,      26,       5
    1216,      72,      12,      22,      21
     941,      78,      13,      11,      27
     125,     132,      22,       5,       0
    -129,      96,      16,      11,      -7
     151,       6,       1,       1,      13
     118,      18,       3,       4,       6
     148,      48,       8,      -2,      19
     251,      84,      14,       3,      11
     781,      72,      12,      17,      16
     243,       0,       0,      15,       6
      49,     120,      20,      -3,     -14
     443,      54,       9,       9,      14
    -784,      12,       2,      14,     -21
     112,      54,       9,      10,       2
     241,      48,       8,       9,       7
     -17,       0,       0,      -5,      11
     380,      12,       2,      30,       5
    1162,       6,       1,      18,      25
     108,     -18,      -3,       6,       6
     694,      48,       8,      12,      19
     640,     132,      22,      10,      17
     256,     -78,     -13,       4,      19
     562,      54,       9,      16,      12
      95,      60,      10,      -1,       6
     205,     -30,      -5,       7,      10
     471,     108,      18,      15,       9
     258,     120,      20,       0,      15
     437,     -36,      -6,       9,      17
     211,       0,       0,       7,       9
     130,     -24,      -4,      14,       4
      37,       0,       0,      -3,      13
     409,      48,       8,       9,      13
       7,      78,      13,      -7,      13
     154,      96,      16,      20,       1
    -502,      48,       8,      36,      -7
    1080,      90,      15,      14,      26
      37,     126,      21,       3,      -5
     350,      42,       7,       8,      12
     232,      60,      10,       4,      10
     605,      72,      12,      17,      12
     187,      48,       8,       7,       6
     -68,      54,       9,      10,      -4
     -61,     132,      22,     -21,       5
    1072,     -24,      -4,      16,      26
     -56,     -30,      -5,       4,      -1
     285,     132,      22,       5,       8
     178,      30,       5,      10,       5
     176,     -96,     -16,      12,       8
     807,     144,      24,      35,       8
      70,     120,      20,       6,      -2
      23,      18,       3,      17,       0
     560,     -12,      -2,      14,      15
      81,      78,      13,      -1,       2
     289,     162,      27,      11,       4
    2763,       6,       1,      33,      36
     555,     138,      23,       9,      15
     218,      30,       5,       0,      20
     226,     138,      23,      -2,      17
      37,      54,       9,      -5,      -6
      19,      12,       2,       3,       1
     326,     168,      28,       2,      12
     880,      60,      10,      22,      15
     770,      90,      15,      12,      20
    1129,     192,      32,      13,      26
     264,      60,      10,       8,       8
      48,      54,       9,      -4,       5
    -146,       6,       1,       0,     -14
    1423,      72,      12,      19,      28
      73,      54,       9,      31,       0
    1123,     -30,      -5,      13,      32
     295,     198,      33,      -3,      28
     159,      78,      13,       9,       3
    1261,      72,      12,      13,      33
     166,      78,      13,       2,       7
      22,     144,      24,      16,      -3
     487,     108,      18,       7,      16
    -459,      42,       7,      39,      -6
    1597,      24,       4,      25,      26
     720,     186,      31,      14,      14
     791,     -66,     -11,      33,      11
     921,     168,      28,      17,      17
     112,     174,      29,      10,      -2
    1129,      24,       4,      29,      16
      88,     102,      17,      -4,       1
    -239,      84,      14,      13,      -9
      -7,      12,       2,      -7,       0
     648,     114,      19,      14,      14
     935,      42,       7,      21,      17
     910,      24,       4,      16,      21
    -152,      72,      12,       4,     -12
      -5,      90,      15,      21,      -2
     364,      18,       3,      28,       5
     250,      72,      12,      10,       6
     424,       0,       0,      16,      10
     442,      54,       9,      10,      13
     655,      48,       8,      11,      19
    1354,      90,      15,      16,      30
     394,      54,       9,       2,      25
     361,      78,      13,       7,      12
     331,      36,       6,       3,      19
      51,      54,       9,       9,       0
    1006,     156,      26,      12,      25
     456,     144,      24,       2,      23
     508,     150,      25,      10,      12
     296,     168,      28,       0,      14
    1129,      36,       6,      25,      18
     859,     -12,      -2,      19,      18
     977,      54,       9,      15,      23
     127,     -12,      -2,       7,       6
     701,      72,      12,      29,       9
     901,      -6,      -1,      23,      16
      72,      54,       9,      -4,      17
     649,     108,      18,      13,      15
    1153,      48,       8,      17,      25
     214,       0,       0,       6,      10
     215,     102,      17,       5,       6
    1416,      90,      15,      12,      39
     374,     144,      24,      14,       6
    1259,     -24,      -4,      47,      12
     111,     102,      17,      21,       0
     252,      48,       8,       8,       8
     618,     108,      18,      12,      15
     106,      18,       3,       0,      10
     230,      78,      13,       8,       6
     349,     138,      23,       7,       9
      46,       0,       0,      -8,     -11
     -70,      72,      12,       0,     -13
     349,      96,      16,      13,       7
     603,      60,      10,      11,      17
     922,      42,       7,      18,      19
      40,      54,       9,      -6,      -2
    1042,     156,      26,      16,      21
     194,      90,      15,       6,       5
     411,     -36,      -6,      11,      14
     231,      48,       8,       3,      12
     713,      84,      14,      33,       8
     336,      78,      13,       6,      12
    1196,      -6,      -1,      18,      26
     132,      72,      12,       6,       3
     524,      30,       5,       2,      36
     759,     168,      28,      27,       9
     556,     108,      18,      10,      15
     340,      84,      14,       8,      10
    1015,     114,      19,      29,      13
     970,      90,      15,      18,      19
      24,      54,       9,      -4,      -7
     319,     126,      21,       9,       7
     766,     156,      26,       6,      28
    1134,      24,       4,      18,      24
    1609,     -24,      -4,      25,      27
      79,    -132,     -22,      -1,      28
     694,      84,      14,      14,      16
     172,      24,       4,       0,      16
    2007,      36,       6,      23,      35
     781,     198,      33,      19,      12
     129,      -6,      -1,       3,       9
     250,     186,      31,       4,       4
     -17,      90,      15,      13,      -3
     553,      48,       8,      13,      14
     615,     132,      22,      15,      12
     221,      42,       7,      23,       3
     155,      42,       7,      21,       2
      39,      42,       7,       9,       0
      43,      60,      10,      -5,      19
     385,     138,      23,       3,      16
    -172,      90,      15,     -12,      17
     222,     204,      34,       2,       2
     542,      66,      11,      12,      14
     -16,       0,       0,      -4,       0
      97,      96,      16,      13,       0
      83,     114,      19,       9,      -1
     108,     120,      20,       0,       0
     667,      36,       6,      19,      13
     -14,     -24,      -4,      22,       0
     991,      84,      14,      23,      16
     -60,      72,      12,      18,      -3
     904,      84,      14,      22,      15
    -827,     222,      37,      19,     -22
     556,      60,      10,       4,      28
     363,      12,       2,      11,      11
     872,     -12,      -2,      12,      26
    -173,      78,      13,      21,      -5
     174,      66,      11,      20,       2
     494,     150,      25,      14,       9
     250,     162,      27,       0,      10
     582,     126,      21,       6,      21
      65,      24,       4,      -3,      14
     979,     144,      24,       7,      35
     -82,     -54,      -9,       6,      -1
     931,      90,      15,      17,      19
     862,      54,       9,      20,      16
     -63,     -30,      -5,      11,      -1
     -63,     192,      32,       9,      -9
     -70,    -138,     -23,       0,       8
     442,      60,      10,       2,      28
    2983,      24,       4,      27,      46
    2261,      24,       4,      41,      24
     274,     126,      21,      10,       5
     340,      60,      10,      22,       5
      49,     108,      18,     -11,       3
     578,       6,       1,      26,       9
     482,     156,      26,       2,      24
     -35,      12,       2,       1,      -3
     583,     222,      37,      13,      10
     -20,     114,      19,      -8,      19
       7,      54,       9,       5,      -2
      14,     -54,      -9,       0,       8
     544,     162,      27,      16,       9
       0,      72,      12,       6,      -3
     157,      72,      12,      -3,      25
     574,      66,      11,      16,      12
     782,      96,      16,      14,      18
    1066,     114,      19,      14,      25
     206,      18,       3,       0,      20
      94,      72,      12,       8,       1
      60,      12,       2,       8,       2
     748,     252,      42,       4,      28
    1971,     -18,      -3,      29,      29
    1390,      84,      14,      22,      24
    1306,       0,       0,      16,      31
     232,     144,      24,      16,       2
     262,     114,      19,      -2,      27
     548,      84,      14,       8,      18
     472,     -36,      -6,      16,      12
    1547,     144,      24,      15,      35
     450,      42,       7,      12,      12
       1,     -48,      -8,       1,       5
    -143,      36,       6,      13,      -5
     229,     114,      19,       7,       5
     172,      24,       4,       0,      16
     858,      42,       7,      12,      24
     601,      72,      12,      21,      10
     -46,      36,       6,       0,      -7
     -62,     -18,      -3,      -8,       4
     192,      66,      11,       6,       6
      72,      60,      10,      -4,      14
     491,      78,      13,       5,      21
     806,      24,       4,      12,      23
     265,      72,      12,      25,       3
      50,      60,      10,       2,       0
     676,      66,      11,      14,      16
     406,     -60,     -10,      18,      10
     911,      18,       3,      21,      17
     384,      78,      13,      12,       9
      91,      84,      14,      19,       0
     103,      12,       2,       7,       4
      70,      42,       7,       0,       4
     741,       6,       1,      11,      23
     172,      90,      15,       4,       5
     339,     156,      26,       3,      12
     637,     126,      21,      11,      16
     373,      90,      15,      15,       7
     661,      84,      14,      13,      16
     337,      78,      13,       7,      11
     469,     -84,     -14,       5,      28
    1406,      90,      15,      26,      21
     175,      78,      13,       1,       9
    1000,      48,       8,      12,      28
    -689,     -42,      -7,      25,     -11
     425,     162,      27,       3,      17
      61,     -30,      -5,      -1,      13
     487,      72,      12,      11,      13
     -31,      54,       9,      -9,       8
     118,     102,      17,       6,       1
    1017,      54,       9,      23,      17
     483,      84,      14,      27,       6
     -14,      -6,      -1,       4,       0
     544,       0,       0,      12,      16
     364,      96,      16,      14,       7
     340,     102,      17,       0,      25
     520,      42,       7,       4,      27
     936,     102,      17,      32,      11
     510,    -102,     -17,      12,      18
     468,     -42,      -7,      12,      15
     715,      60,      10,      27,      10
     498,      42,       7,       6,      21
      34,      18,       3,      -8,      -6
     -93,      48,       8,      -9,      15
     537,      60,      10,      21,       9
    -107,     150,      25,     -21,       7
     515,     180,      30,      27,       5
     786,     138,      23,      30,       9
     892,      48,       8,      16,      20
    1119,     102,      17,      17,      23
    -365,      42,       7,      21,      -8
       5,       6,       1,      11,       0
      54,       6,       1,       0,       6
    3291,      42,       7,      41,      35
     664,      30,       5,      26,      10
     114,     126,      21,       0,       0
     148,      30,       5,      10,       4
     480,     -30,      -5,      12,      15
     416,      48,       8,       6,      17
     -86,     -18,      -3,      -2,      -9
    -125,      36,       6,      11,      -5
     802,     168,      28,      26,      10
    2208,      90,      15,      30,      30
     138,      30,       5,       0,      12
     973,     102,      17,      19,      18
     122,      48,       8,       8,       3
     382,     102,      17,      22,       5
     247,      66,      11,      13,       5
     105,      36,       6,      -3,      21
     663,      24,       4,      11,      20
     483,     150,      25,       9,      12
     244,     156,      26,       0,      10
      61,     -12,      -2,       5,       4
     184,      96,      16,      -2,      17
     310,      84,      14,       4,      13
     -19,      -6,      -1,      -1,       0
    1618,     156,      26,      24,      25
     529,     -24,      -4,      33,       7
     882,     120,      20,      14,      20
     724,      48,       8,      16,      16
     341,     -72,     -12,       5,      21
     142,      60,      10,       4,       5
     748,     138,      23,      28,       9
      64,     132,      22,      12,      -2
     400,      66,      11,       4,      19
     925,      54,       9,      19,      18
     692,     120,      20,      14,      15
      66,      48,       8,       0,       3
     553,      30,       5,      15,      13
     370,      54,       9,       4,      18
     973,       0,       0,      13,      27
     253,     144,      24,       9,       4
     265,      54,       9,       7,       9
     764,       6,       1,      20,      15
     724,     114,      19,      28,       9
     412,       0,       0,       6,      19
     490,      12,       2,      28,       7
     379,     102,      17,       9,      10
     119,      66,      11,       9,       2
    2023,     102,      17,      29,      28
     239,       6,       1,       5,      12
     356,     -30,      -5,       8,      15
     729,      24,       4,      33,       9
     133,      90,      15,      15,       1
    -195,     -84,     -14,      -7,      23
    1222,      84,      14,      16,      27
     342,      36,       6,      14,       8
     334,      -6,      -1,       2,      25
     191,     168,      28,     -13,      -3
     169,     108,      18,      21,       1
    1555,     108,      18,      19,      30
     706,      48,       8,      10,      22
     223,      30,       5,       5,      10
     287,     120,      20,       3,      11
     -62,     120,      20,      -8,      27
     424,      66,      11,      10,      12
      65,      78,      13,      -1,       0
     -86,     -24,      -4,       0,      -5
     590,      12,       2,      12,      17
    -314,      18,       3,      10,     -11
     184,      66,      11,       4,       7
      37,      54,       9,      -5,      10
     488,     120,      20,       6,      17
      10,       0,       0,      22,       0
     739,      96,      16,      15,      16
     166,     108,      18,      -2,      12
     489,       0,       0,      17,      11
     475,      36,       6,      19,       9
     547,      42,       7,      13,      14
     -53,       0,       0,       7,      -2
     470,     102,      17,       6,      17
     377,     114,      19,       3,      17
     368,       0,       0,       6,      17
     816,     108,      18,      20,      14
     607,      36,       6,      23,      10
     802,      54,       9,      10,      25
     542,      30,       5,      18,      11
    -113,     -60,     -10,       7,      -2
     604,       0,       0,      18,      13
    1252,      54,       9,      22,      22
     190,     174,      29,      28,       0
     290,     162,      27,       0,      14
     571,     168,      28,      23,       7
    -213,      90,      15,      17,      -7
     484,      18,       3,      18,      10
      43,       0,       0,       7,       2
     -78,     -66,     -11,       0,       0
     163,     120,      20,      -1,       7
     469,      96,      16,       5,      19
     998,      84,      14,      14,      24
      73,      60,      10,       5,       1
     212,      42,       7,      12,       5
     159,      60,      10,      -1,      14
    1075,     174,      29,      13,      25
       0,     108,      18,       8,      -4
    1828,       0,       0,      36,      22
    -614,      12,       2,      16,     -15
    1012,     174,      29,      14,      22
     165,       6,       1,      11,       5
     154,     -18,      -3,       2,      13
      84,      36,       6,       0,       6
     316,      54,       9,      26,       4
     910,     102,      17,      20,      16
     156,      54,       9,      12,       3
     724,      48,       8,      16,      16
     688,     -30,      -5,      10,      24
     316,     102,      17,      16,       5
       3,     114,      19,      -7,      23
     298,     162,      27,      12,       4
     719,      36,       6,      23,      12
     382,     -30,      -5,       8,      16
    1387,     162,      27,      41,      13
     229,      36,       6,       9,       7
     927,     174,      29,       9,      27
    1763,      90,      15,      21,      32
     514,       6,       1,      10,      17
     952,    -138,     -23,      22,      20
     -60,     132,      22,       2,     -13
     169,     144,      24,      -3,      10
     337,     228,      38,       1,      10
     496,     -12,      -2,      16,      12
      74,     102,      17,      -6,       5
     -47,      48,       8,      -7,      19
     211,     204,      34,      19,       0
     176,      24,       4,       8,       6
     238,      30,       5,      10,       7
      49,      84,      14,      -7,       4
     103,     102,      17,       1,       1
    1311,      12,       2,      23,      23
