      w0,       x,       z
    5496,       9,      24
     262,      18,      -7
    -100,      10,      -4
    9338,       7,      31
    -334,     -11,       1
    3040,      25,      18
      -6,      11,       5
    4560,       5,      22
    1458,      17,      13
     124,      16,      -6
    2292,       8,      16
    -154,      34,      -1
     -76,      16,       4
    4628,      22,      22
    7038,      12,      27
    1616,     -11,      14
    2010,      15,      15
    1196,      14,      12
     198,       2,       7
    -186,       6,      -3
    -160,      -5,       4
    5010,       5,      23
     950,      10,      11
     206,       4,      -7
    1958,       2,      15
     270,      20,       7
    -144,      29,      -2
    7604,      16,      28
    -218,      18,      -1
     104,      11,       6
    2630,      10,      17
     -26,       6,      -5
     -56,      21,      -4
    4592,      13,      22
     942,       8,      11
    1672,       3,      14
    1370,      -5,      13
     344,       1,       8
    1414,       6,      13
    1982,       8,      15
    2034,      21,      15
     534,       6,       9
    1220,      20,      12
    -292,      -8,       2
    9306,      -1,      31
    4990,       0,      23
    1954,       1,      15
    1164,       6,     -12
    -204,      14,      -2
    2638,      12,      17
    2920,      -5,      18
    -252,       2,       2
    2348,      22,     -16
     174,      -4,       7
    -294,      -1,       1
    -188,      18,      -2
    1728,      17,      14
    3756,      14,      20
    1272,      33,      12
      -6,      11,       5
    5066,      19,      23
     380,      10,       8
    1104,      -9,      12
    6440,      -5,      26
    -226,      16,      -1
    5078,      22,      23
     950,      10,      11
     -66,      -4,       5
    -286,       1,       1
     934,       6,      11
    6508,      12,      26
    3358,      12,      19
    6456,      -1,      26
    1216,      19,      12
    -190,       5,       3
     688,      -3,      10
     -48,      23,      -4
    -220,      10,       2
    1180,      10,      12
    2634,      11,      17
    5922,      -7,      25
    -108,       8,       4
    4178,      17,      21
    4608,      17,      22
     266,      19,       7
    2670,      20,      17
    6504,      11,      26
    -168,      23,       2
    3386,      19,      19
     954,      11,      11
    -118,      23,       3
    2996,      14,      18
    6564,      26,      26
    -202,      22,       1
    1164,       6,      12
    4182,      18,      21
    6524,      16,      26
    2694,      26,      17
    1398,       2,      13
     100,      10,      -6
    7552,       3,      28
    5990,      10,      25
    5552,      23,      24
