      w0,       y
     -84,       0
     -84,       0
     556,       8
    3156,      18
     406,       7
    3156,      18
       6,       3
    5206,      23
    4326,      21
     166,      -5
    6676,      26
     556,      -8
     166,      -5
     556,       8
    2476,      16
     406,       7
       6,       3
   10156,      32
    1606,      13
       6,      -3
    5206,      23
    4756,      22
     276,       6
      76,       4
     166,       5
      76,       4
     -84,       0
     -44,      -2
    7206,      27
      76,      -4
     556,       8
    1126,      11
    1876,      14
       6,       3
     726,       9
     -84,       0
    1876,      14
    5676,      24
    1356,      12
     556,       8
     726,      -9
     916,      10
    1876,      14
     406,       7
       6,      -3
    1126,      11
     556,       8
       6,       3
    1356,      12
     -74,       1
     556,       8
     916,      10
    3916,      20
     -74,      -1
     166,       5
     726,       9
    1356,      12
    2806,      17
      76,       4
       6,       3
     -44,       2
    5676,      24
    3156,      18
     -44,      -2
    1126,      11
       6,       3
    2166,      15
       6,       3
     166,      -5
       6,       3
    3916,      20
    2476,      16
    7206,      27
    1606,      13
    4326,      21
     726,      -9
     166,      -5
    2806,      17
       6,       3
     -44,      -2
    2166,      15
     916,      10
      76,       4
    1876,      14
     406,      -7
     726,       9
    1126,      11
     -84,       0
     556,       8
    2476,      16
     -74,      -1
    2476,      16
    4326,      21
    6166,      25
    2166,      15
     -44,      -2
    5206,      23
    3526,      19
    2806,      17
     726,       9
     -74,       1
    2806,      17
     726,       9
     556,       8
       6,      -3
     -74,       1
    1126,      11
     -74,       1
    4756,      22
     916,      10
    2476,      16
      76,      -4
    2166,      15
    4326,      21
     -84,       0
    1606,      13
     556,       8
     276,       6
    6676,      26
     406,       7
     -74,      -1
     276,      -6
     406,      -7
     916,      10
     166,      -5
    3526,      19
     276,       6
     556,       8
    5676,      24
     726,       9
       6,       3
     726,       9
     276,       6
     -74,      -1
    1876,      14
      76,      -4
    5676,      24
     -74,       1
    1876,      14
     -44,      -2
     166,       5
    6166,      25
     -84,       0
     406,      -7
    4756,      22
    3526,      19
       6,      -3
    7756,      28
    6166,      25
     -44,      -2
     -44,       2
    1126,      11
     -84,       0
    5676,      24
     726,       9
    1606,     -13
     276,       6
    4326,      21
     556,      -8
    1876,      14
    9526,      31
     -84,       0
    1126,      11
    8326,      29
    2166,      15
    7756,      28
    1876,      14
    6166,      25
     -74,       1
     726,       9
    2806,      17
    4326,      21
     276,       6
    6166,      25
     276,       6
     276,       6
     276,       6
    4326,      21
     556,       8
     166,       5
     556,       8
    1606,      13
     -84,       0
    2806,      17
     166,      -5
       6,       3
    1876,      14
     166,       5
     726,       9
    1876,      14
     -84,       0
    1606,      13
    1876,      14
    2476,      16
    2166,      15
    3526,      19
    1126,      11
     -84,       0
     276,       6
    3156,      18
     -44,      -2
    5206,      23
     166,       5
    1606,      13
    6676,      26
    1126,      11
    3526,      19
     -84,       0
     406,       7
    1876,      14
    1876,      14
    5676,      24
     916,      10
     556,      -8
    7206,      27
    6166,      25
    1356,      12
     166,       5
     -44,      -2
    3916,      20
       6,       3
     -84,       0
     -74,      -1
     276,       6
     -44,      -2
    2806,      17
       6,      -3
    2476,      16
     -74,       1
    1126,      11
    4326,      21
    6166,      25
    7206,      27
    2806,      17
       6,       3
    2476,      16
    4756,      22
    2806,      17
     -44,       2
    2166,     -15
    1356,      12
     -84,       0
     726,       9
     -84,       0
     -74,       1
     -84,       0
     916,      10
     -84,       0
     916,      10
    4756,      22
    4326,      21
    2806,      17
     726,       9
     -44,      -2
    1606,      13
    1876,      14
    3526,      19
     556,       8
     -74,       1
     166,      -5
     -84,       0
   10156,      32
       6,       3
    5206,      23
       6,       3
    1606,      13
    7756,      28
     406,       7
     726,       9
    3156,      18
    2166,      15
    2166,      15
    3526,      19
    1606,     -13
     556,       8
   13606,      37
     406,       7
     -44,       2
    1356,      12
    3156,      18
       6,       3
    2806,      17
    8916,      30
      76,      -4
     916,      10
    5206,      23
    2476,      16
     726,       9
    1356,     -12
    1356,      12
    4326,      21
       6,       3
    6166,      25
      76,       4
    5676,      24
     726,       9
    5206,      23
     406,      -7
    2166,      15
    2476,      16
     -84,       0
     406,       7
       6,       3
    8916,      30
     556,       8
    2476,      16
     276,       6
    1356,      12
     726,       9
    1126,      11
     -84,       0
     -44,       2
     166,      -5
    5206,      23
    2166,      15
    1356,      12
    1126,      11
     276,       6
    3916,      20
     -84,       0
    1126,      11
     -44,      -2
     406,       7
    5676,      24
    2806,      17
     -84,       0
