      w0,       z
     171,      19
     180,      20
     324,      36
      99,      11
      54,       6
     153,      17
       0,       0
     -81,      -9
       0,       0
     -18,      -2
      27,       3
     261,      29
      18,       2
      81,       9
     -63,      -7
     -63,      -7
      -9,      -1
       9,       1
     162,      18
     279,      31
     288,      32
      -9,      -1
     189,      21
      72,       8
     -81,      -9
     144,      16
     -18,      -2
      90,      10
      72,       8
     -36,      -4
    -117,     -13
     162,      18
      99,      11
     135,      15
     135,      15
     252,      28
      99,      11
     117,      13
     171,      19
     153,      17
     171,      19
     297,      33
      18,       2
       9,       1
     153,      17
      72,       8
     108,      12
     162,      18
      18,       2
      72,       8
      72,       8
     189,      21
     162,      18
      27,       3
      27,       3
     207,      23
     243,      27
      72,       8
     117,      13
    -207,     -23
     135,      15
     -36,      -4
     225,      25
     162,      18
     189,      21
      81,       9
     -99,     -11
      54,       6
     135,      15
      81,       9
      18,       2
     234,      26
     -81,      -9
     198,      22
       9,       1
     216,      24
     270,      30
     171,      19
      27,       3
     198,      22
     234,      26
     -27,      -3
     243,      27
      27,       3
     117,      13
     108,      12
     207,      23
      54,       6
     117,      13
      81,       9
     162,      18
      36,       4
     -27,      -3
     171,      19
      54,       6
     126,      14
      81,       9
     171,      19
     198,      22
     252,      28
      36,       4
      72,       8
       9,       1
      36,       4
     207,      23
     162,      18
     171,      19
      90,      10
     135,      15
      63,       7
     252,      28
     207,      23
     -18,      -2
     -72,      -8
     108,      12
      99,      11
     117,      13
     108,      12
     153,      17
      18,       2
     216,      24
     180,      20
     -45,      -5
     -63,      -7
     117,      13
      27,       3
     234,      26
      99,      11
     189,      21
     135,      15
     234,      26
      90,      10
      90,      10
     171,      19
     261,      29
      27,       3
      72,       8
     180,      20
     198,      22
      36,       4
      63,       7
     171,      19
      90,      10
       0,       0
      45,       5
      36,       4
     153,      17
      36,       4
     243,      27
     -36,      -4
     171,      19
      81,       9
     171,      19
      45,       5
      99,      11
      63,       7
     -45,      -5
     135,      15
     216,      24
      81,       9
     117,      13
      72,       8
     216,      24
      90,      10
       0,       0
     144,      16
       9,       1
     135,      15
     144,      16
      63,       7
     117,      13
     117,      13
       0,       0
     117,      13
      72,       8
     216,      24
     144,      16
       0,       0
      63,       7
     144,      16
      63,       7
     117,      13
      63,       7
      45,       5
      81,       9
     162,      18
      27,       3
     -54,      -6
     180,      20
      90,      10
     162,      18
      63,       7
      63,       7
      63,       7
       0,       0
      72,       8
     144,      16
     198,      22
     225,      25
     207,      23
      36,       4
     117,      13
       9,       1
     126,      14
     117,      13
     171,      19
      36,       4
      81,       9
       9,       1
     135,      15
     189,      21
     180,      20
      99,      11
      99,      11
     180,      20
    -180,     -20
     126,      14
     189,      21
     117,      13
      72,       8
      63,       7
      99,      11
     270,      30
      81,       9
      90,      10
     -72,      -8
      99,      11
     117,      13
      63,       7
       0,       0
      90,      10
       9,       1
     243,      27
     243,      27
     324,      36
      63,       7
     315,      35
      81,       9
     153,      17
     135,      15
       0,       0
      81,       9
     -36,      -4
     153,      17
      63,       7
      99,      11
     135,      15
     189,      21
     306,      34
    -144,     -16
     180,      20
       0,       0
     189,      21
      36,       4
      54,       6
      54,       6
     117,      13
      27,       3
      99,      11
     -18,      -2
     -18,      -2
     -63,      -7
     162,      18
     108,      12
       9,       1
     189,      21
       0,       0
     -27,      -3
     108,      12
      72,       8
     315,      35
      45,       5
      72,       8
    -117,     -13
     -18,      -2
      72,       8
    -126,     -14
     216,      24
     162,      18
      45,       5
      99,      11
    -108,     -12
      36,       4
      54,       6
     108,      12
     -18,      -2
       0,       0
     189,      21
     216,      24
     117,      13
     270,      30
      54,       6
     153,      17
      81,       9
       0,       0
     117,      13
     324,      36
     135,      15
     135,      15
     198,      22
     -27,      -3
      27,       3
     -81,      -9
     162,      18
       9,       1
      81,       9
       0,       0
     189,      21
     135,      15
      -9,      -1
     -45,      -5
      72,       8
      54,       6
     -90,     -10
      90,      10
      90,      10
     198,      22
     108,      12
     126,      14
     108,      12
      27,       3
      18,       2
      27,       3
      18,       2
     180,      20
       9,       1
      90,      10
      45,       5
      63,       7
       0,       0
      18,       2
     171,      19
      72,       8
     126,      14
      54,       6
      45,       5
     -54,      -6
      72,       8
      72,       8
     234,      26
     297,      33
     198,      22
     198,      22
      63,       7
     171,      19
      54,       6
     342,      38
      72,       8
       0,       0
      54,       6
     153,      17
     198,      22
     216,      24
      45,       5
     108,      12
     243,      27
      45,       5
     288,      32
     126,      14
      90,      10
      18,       2
     189,      21
     -45,      -5
       9,       1
     126,      14
      54,       6
     108,      12
     -27,      -3
    -108,     -12
     -18,      -2
     153,      17
     162,      18
      27,       3
     243,      27
     198,      22
     144,      16
      45,       5
     234,      26
       0,       0
     117,      13
     171,      19
     234,      26
     -45,      -5
       9,       1
     171,      19
     117,      13
     153,      17
       9,       1
     288,      32
     126,      14
     180,      20
     153,      17
     126,      14
       9,       1
     189,      21
     162,      18
     117,      13
     189,      21
     189,      21
     162,      18
      72,       8
     189,      21
      99,      11
     -45,      -5
      18,       2
      18,       2
      90,      10
      27,       3
     -45,      -5
     117,      13
      36,       4
     126,      14
     288,      32
      36,       4
       9,       1
      63,       7
     153,      17
     108,      12
     -36,      -4
      63,       7
      90,      10
     162,      18
      36,       4
     252,      28
     -63,      -7
       0,       0
      90,      10
     270,      30
     162,      18
       9,       1
     216,      24
     180,      20
     126,      14
     108,      12
     162,      18
      18,       2
      36,       4
      99,      11
      27,       3
     243,      27
     261,      29
     144,      16
      18,       2
      36,       4
     234,      26
     342,      38
      36,       4
     135,      15
     108,      12
      54,       6
      99,      11
      99,      11
     135,      15
     108,      12
     144,      16
     189,      21
     108,      12
      90,      10
     117,      13
      63,       7
      90,      10
     171,      19
     -99,     -11
     252,      28
      90,      10
     162,      18
      54,       6
     117,      13
     234,      26
     180,      20
     -18,      -2
     -36,      -4
     315,      35
     117,      13
      63,       7
     117,      13
     225,      25
     207,      23
     171,      19
     117,      13
      45,       5
       0,       0
      36,       4
      27,       3
     126,      14
     135,      15
      81,       9
      72,       8
      27,       3
     135,      15
     171,      19
       0,       0
      54,       6
     171,      19
      81,       9
     126,      14
      81,       9
     270,      30
     189,      21
     252,      28
     234,      26
     171,      19
      81,       9
      72,       8
      72,       8
      27,       3
     -18,      -2
     -36,      -4
      81,       9
     -72,      -8
      99,      11
       9,       1
