      w0,       y,       z
     223,      20,      30
      -7,       0,      15
    -115,      -2,       5
      41,      17,      13
     -75,      13,       3
      27,       6,      16
    -181,       9,      -6
     -17,      15,       8
      87,      21,      16
     199,      14,      30
     171,      12,      28
    -193,       6,      -6
       9,      -1,      17
      83,       0,      24
     161,       7,      29
      97,      26,      15
      41,     -13,      25
     -55,      13,       5
      89,      14,      19
      63,       0,      22
    -177,      20,     -10
    -135,      -7,       5
    -141,       9,      -2
     179,      14,      28
     187,      11,      30
     -57,      20,       2
    -147,      15,      -5
     -31,       4,      11
     173,      30,      21
     -37,      -5,      14
      45,       3,      19
      -1,       9,      12
     133,       0,      29
    -137,      15,      -4
     165,      23,      23
     -39,      12,       7
      17,       1,      17
      27,      11,      14
      57,       6,      19
     -67,       0,       9
      81,      17,      17
    -185,      -7,       0
    -159,      -8,       3
     111,      12,      22
    -133,       1,       2
      77,      -4,      25
       9,      24,       7
      -5,      23,       6
     121,      17,      21
    -153,      26,     -10
    -165,      -2,       0
     183,      15,      28
     215,      18,      30
     -27,      15,       7
     131,       2,      28
     -97,      10,       2
    -133,      16,      -4
      15,       8,      14
       5,       8,      13
      -7,      25,       5
    -127,      20,      -5
      23,       0,      18
    -307,      25,     -25
    -135,      -2,       3
     105,       8,      23
     -43,      -4,      13
       5,      13,      11
      97,      26,      15
     -33,      -4,      14
    -197,       5,      -6
     -21,      14,       8
      53,      20,      13
    -107,       5,       3
      49,      -1,      21
    -253,       6,     -12
     -87,      15,       1
      11,      12,      12
      71,      12,      18
     107,      31,      14
      57,       1,      21
       1,      22,       7
    -111,       9,       1
      77,      31,      11
      63,      10,      18
      55,      23,      12
    -105,       3,       4
     -19,       7,      11
     -31,      14,       7
      27,      11,      14
    -159,      12,      -5
      19,       4,      16
     -65,      -2,      10
    -133,       6,       0
      49,      14,      15
      97,      21,      17
      23,      15,      12
     151,      17,      24
     -25,       3,      12
     -93,      -4,       8
     -85,      23,      -2
    -135,      18,      -5
     -21,      -6,      16
    -101,       9,       2
     235,      13,      34
      43,      20,      12
     161,      17,      25
     -71,      14,       3
      65,      18,      15
